Chronologic VCS simulator copyright 1991-2005
Contains Synopsys proprietary information.
Compiler version Y-2006.06_Full64; Runtime version Y-2006.06_Full64;  Mar  8 19:30 2010

Time:   0 -clock:0 done:0 dispatch_num:0 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a:  0 cre_b:  0 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 1
Time:   5 -clock:1 done:0 dispatch_num:0 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a:  0 cre_b:  0 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 1
Time:  10 -clock:0 done:0 dispatch_num:0 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a:  0 cre_b:  0 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 1
Time:  15 -clock:1 done:0 dispatch_num:0 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a:  0 cre_b:  0 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 1
Time:  20 -clock:0 done:0 dispatch_num:0 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a:  0 cre_b:  0 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  25 -clock:1 done:1 dispatch_num:1 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a: 32 cre_b:  0 rob_rs_mt_a: 32 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  30 -clock:0 done:1 dispatch_num:1 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a: 32 cre_b:  0 rob_rs_mt_a: 32 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  35 -clock:1 done:0 dispatch_num:0 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a: 32 cre_b:  0 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  40 -clock:0 done:0 dispatch_num:0 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a: 32 cre_b:  0 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  45 -clock:1 done:1 dispatch_num:2 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a: 33 cre_b: 34 rob_rs_mt_a: 33 rob_rs_mt_b: 34, correct:1, reset: 0
Time:  50 -clock:0 done:1 dispatch_num:2 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a: 33 cre_b: 34 rob_rs_mt_a: 33 rob_rs_mt_b: 34, correct:1, reset: 0
Time:  55 -clock:1 done:0 dispatch_num:0 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a: 33 cre_b: 34 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  60 -clock:0 done:0 dispatch_num:0 retire_num:0 rob_retire_a:  0 rob_retire_b:  0 cre_a: 33 cre_b: 34 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  65 -clock:1 done:0 dispatch_num:0 retire_num:1 rob_retire_a:  5 rob_retire_b:  0 cre_a:  5 cre_b:  0 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  70 -clock:0 done:0 dispatch_num:0 retire_num:1 rob_retire_a:  5 rob_retire_b:  0 cre_a:  5 cre_b:  0 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  75 -clock:1 done:1 dispatch_num:1 retire_num:0 rob_retire_a:  5 rob_retire_b:  0 cre_a:  5 cre_b:  0 rob_rs_mt_a:  5 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  80 -clock:0 done:1 dispatch_num:1 retire_num:0 rob_retire_a:  5 rob_retire_b:  0 cre_a:  5 cre_b:  0 rob_rs_mt_a:  5 rob_rs_mt_b:  0, correct:1, reset: 0
Time:  85 -clock:1 done:0 dispatch_num:0 retire_num:0 rob_retire_a:  5 rob_retire_b:  0 cre_a:  5 cre_b:  0 rob_rs_mt_a:  0 rob_rs_mt_b:  0, correct:1, reset: 0
